Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C19, C2, C20, C21, C22, C23, C24, C26, C27, C28, C29, C3, C30, C31, C32, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C5, C6, C7, C8, C9",0402,45,100n,C309458
"C18, C25, C33",0402,3,10u,C315248
"C49, C50, C51, C52, C53, C55",0402,6,1u,
"C54, C56",0402,2,2.2u,
"CN1, CN2, CN3",CONN-TH_36P-P1.00-V_3183-XXXXXPXT,3,3183-10110P1T,C404109
J1,BUS_PCIexpress_x1,1,Bus_PCI_Express_x1,
"L1, L2, L3, L4, L5, L6",L0603,6,MPZ1608D101BTA00,C87554
"LDO1, LDO2",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,2,TPS70933DBVR,C89347
"R1, R21, R22, R23",0402,4,330,
"R10, R11, R17, R18, R4, R5, R6",0402,7,330,C25104
"R12, R13, R14",0402,3,1k,C11702
R15,0402,1,475,
R16,0402,1,1.42k,C25744
"R19, R2, R20, R3",0402,4,5.1k,C25905
"R24, R7, R8, R9",0402,4,10k,C25744
"R25, R26, R27, R28, R29, R30, R31, R32, R33",0402,9,0,
U1,LQFP-128_L14.0-W14.0-P0.40-LS16.0-BL-EP5.8,1,PI7C9X2G404SLBFDEX,C500767
U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,M24C04-WMN6TP,C118280
"U3, U4",TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,2,TLV73310PDBVR,C83352
