Designator,Mid X,Mid Y,Rotation,Layer
C1,89.8,-116.58,270.0,top
C10,99.8,-137.28,90.0,top
C11,93.6,-116.6,90.0,top
C12,87.9,-137.28,270.0,top
C13,89.2,-137.28,90.0,top
C14,78.4,-131.6,0.0,top
C15,78.4,-132.6,0.0,top
C16,77.6,-126.5,180.0,top
C17,98.7,-137.3,90.0,top
C18,87.2,-116.9,180.0,top
C19,92.0,-137.26,270.0,top
C2,94.6,-116.6,90.0,top
C20,83.9,-107.3,270.0,top
C21,93.0,-137.28,270.0,top
C22,96.6,-137.28,90.0,top
C23,100.2,-116.58,270.0,top
C24,81.6,-107.18,270.0,top
C25,104.2,-124.4,180.0,top
C26,83.8,-127.18,180.0,top
C27,83.8,-123.98,180.0,top
C28,83.8,-129.58,180.0,top
C29,83.8,-125.18,180.0,top
C3,104.2,-126.78,0.0,top
C30,94.3,-137.28,270.0,top
C31,83.3,-133.2,180.0,top
C32,83.8,-121.58,180.0,top
C33,81.8,-138.2,180.0,top
C34,82.56,-118.54,180.0,top
C35,82.56,-117.54,180.0,top
C36,141.3,-124.8,180.0,top
C37,171.38,-124.9,180.0,top
C38,158.1,-124.5,0.0,top
C39,201.17,-124.82,180.0,top
C4,104.2,-121.58,180.0,top
C40,187.8,-125.7,0.0,top
C41,127.58,-124.7,0.0,top
C42,158.1,-123.5,0.0,top
C43,187.8,-124.6,0.0,top
C44,141.3,-123.8,180.0,top
C45,127.58,-125.7,0.0,top
C46,171.38,-123.9,180.0,top
C47,201.18,-123.8,180.0,top
C48,86.2,-136.8,180.0,top
C49,61.58,-110.15,0.0,top
C5,93.1,-109.1,90.0,top
C50,57.98,-110.15,180.0,top
C51,73.2,-110.3,180.0,top
C52,76.8,-110.3,0.0,top
C53,51.1,-110.1,0.0,top
C54,54.7,-110.1,180.0,top
C55,65.855,-110.145,0.0,top
C56,68.955,-110.145,180.0,top
C6,104.2,-120.58,0.0,top
C7,104.2,-130.38,180.0,top
C8,92.6,-116.6,90.0,top
C9,90.6,-137.28,270.0,top
CN1,134.4,-130.25,90.0,top
CN2,164.4,-130.25,90.0,top
CN3,194.4,-130.25,90.0,top
L1,84.6,-112.9,270.0,top
L2,94.4,-108.9,90.0,top
L3,88.0,-147.1,270.0,top
L4,77.6,-127.7,180.0,top
L5,56.4,-118.3,180.0,top
L6,83.7,-138.9,270.0,top
LDO1,52.9,-112.6,180.0,top
LDO2,67.7,-112.6,180.0,top
R1,50.31,-130.7,0.0,top
R10,108.5,-126.7,180.0,top
R11,108.5,-125.7,180.0,top
R12,94.4,-146.6,90.0,top
R13,95.6,-142.8,90.0,top
R14,96.6,-146.8,90.0,top
R15,91.0,-112.7,90.0,top
R16,81.1,-128.8,90.0,top
R17,87.8,-111.81,90.0,top
R18,89.0,-112.7,90.0,top
R19,100.0,-106.5925,0.0,top
R2,90.8,-142.9,90.0,top
R20,100.0,-107.8925,0.0,top
R21,141.29,-128.6,0.0,top
R22,157.0,-129.4,180.0,top
R23,187.8,-129.4,180.0,top
R24,100.0,-109.1925,0.0,top
R25,58.7,-130.8,0.0,top
R26,58.7,-129.8,0.0,top
R27,58.19,-135.6,0.0,top
R28,58.2,-134.6,0.0,top
R29,56.3,-116.4,180.0,top
R3,92.8,-147.7,90.0,top
R30,63.7,-116.4,180.0,top
R31,71.9,-116.4,180.0,top
R32,49.1,-113.5,0.0,top
R33,48.71,-127.7,0.0,top
R4,94.2,-142.7,90.0,top
R5,99.0,-142.9,90.0,top
R6,108.5,-131.7,180.0,top
R7,108.5,-129.7,0.0,top
R8,108.5,-128.7,0.0,top
R9,108.5,-127.7,0.0,top
U1,94.0,-127.0,0.0,top
U2,105.6,-108.5275,90.0,top
U3,59.79,-112.6,180.0,top
U4,75.0,-112.7,180.0,top
